id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
1,integration-stage,/ˌɪn.təˈɡreɪ.ʃən steɪdʒ/,整合階段,EMC problems often appear during the integration stage.,EMC 問題常在整合階段出現。,Integration-stage verification should include bonding and power checks.,整合階段驗證應包含搭接與電源檢查。,Overall / Introduction,4,0,
2,EMC,/ˌiː em ˈsiː/,電磁相容性,EMC must be considered before system-level testing.,在系統級測試前必須考慮電磁相容性。,The EMC plan defines how noise risks are controlled.,EMC 計畫定義如何管控雜訊風險。,Overall / Introduction,3,0,
3,introduction,/ˌɪn.trəˈdʌk.ʃən/,介紹、導論,The introduction explains the purpose of the EMC plan.,導論說明 EMC 計畫的目的。,The introduction summarizes the scope and applicable standards.,導論摘要說明範圍與適用標準。,Overall / Introduction,2,0,
4,scope,/skoʊp/,範圍,The scope of this document covers vehicle-level EMC risks.,本文件範圍涵蓋載具級 EMC 風險。,The scope must clearly define what is included and excluded.,範圍必須清楚定義包含與排除的項目。,Overall / Introduction,2,0,
5,issue,/ˈɪʃ.uː/,問題、議題,Grounding issues may cause unexpected noise.,接地問題可能造成非預期雜訊。,The team should record each EMC issue during integration.,團隊應在整合期間記錄每個 EMC 問題。,Overall / Introduction,2,0,
6,surface,/ˈsɝː.fɪs/,浮現、出現,Many EMC issues surface only after full integration.,許多 EMC 問題只有在完整整合後才會浮現。,Converter noise may surface when all avionics boxes are powered.,當所有航電設備上電後，轉換器雜訊可能浮現。,Overall / Introduction,3,0,
7,applicable standards,/ˈæp.lɪ.kə.bəl ˈstæn.dɚdz/,適用標準,MIL-STD-461 and MIL-STD-464 are applicable standards.,MIL-STD-461 與 MIL-STD-464 是適用標準。,Applicable standards should be listed before test planning begins.,在測試規劃開始前應列出適用標準。,Overall / Introduction,3,0,
8,table of contents,/ˈteɪ.bəl əv ˈkɑːn.tents/,目錄,The table of contents lists all major EMC topics.,目錄列出所有主要 EMC 主題。,A clear table of contents helps reviewers find each section quickly.,清楚的目錄可幫助審查者快速找到各章節。,Overall / Introduction,2,0,
9,requirement,/rɪˈkwaɪr.mənt/,需求、要求,Each subsystem must meet the EMC requirements.,每個子系統都必須符合 EMC 需求。,"The requirement should include limits, methods, and verification criteria.",需求應包含限制值、方法與驗證準則。,Requirements / Standards,3,0,
10,flow-down,/ˈfloʊ daʊn/,需求下展、需求分解,Vehicle-level requirements are flowed down to each box.,載具級需求會下展到每個設備盒。,Requirement flow-down prevents gaps between system and subsystem design.,需求下展可避免系統與子系統設計之間產生落差。,Requirements / Standards,5,1,2026-06-17
11,vehicle-level,/ˈviː.ə.kəl ˈlev.əl/,載具級、整機級,Vehicle-level EMC testing verifies the complete system.,載具級 EMC 測試驗證完整系統。,Vehicle-level limits are usually stricter than informal bench checks.,載具級限制通常比非正式桌上測試更嚴格。,Requirements / Standards,4,0,
12,box-level,/bɑːks ˈlev.əl/,設備級、盒級,Box-level tests are performed before integration.,設備級測試會在整合前執行。,Box-level compliance does not guarantee vehicle-level compatibility.,設備級符合性不保證載具級相容性。,Requirements / Standards,4,0,
13,allocation,/ˌæl.əˈkeɪ.ʃən/,分配、配置,Noise limits must be allocated to each subsystem.,雜訊限制必須分配到各子系統。,Proper allocation helps avoid exceeding the total EMC margin.,適當分配有助於避免超出整體 EMC 裕度。,Requirements / Standards,4,0,
14,tailoring,/ˈteɪ.lɚ.ɪŋ/,裁適、客製化調整,EMC tailoring is needed for mission-specific conditions.,任務特定條件需要 EMC 裁適。,Tailoring should be justified and documented in the control plan.,裁適應提出理由並記錄在管制計畫中。,Requirements / Standards,4,0,
15,range requirements,/reɪndʒ rɪˈkwaɪr.mənts/,發射場 / 靶場要求,Range requirements may add extra safety constraints.,發射場要求可能增加額外安全限制。,Range requirements can affect RF operations during countdown.,發射場要求可能影響倒數期間的 RF 操作。,Requirements / Standards,4,0,
16,compliance,/kəmˈplaɪ.əns/,符合、合規,Compliance with MIL-STD-461 is required.,必須符合 MIL-STD-461。,Compliance must be supported by test data and analysis.,符合性必須由測試數據與分析支持。,Requirements / Standards,3,0,
17,compliance matrix,/kəmˈplaɪ.əns ˈmeɪ.trɪks/,符合性矩陣,A compliance matrix tracks every EMC requirement.,符合性矩陣追蹤每項 EMC 需求。,The compliance matrix should identify verification status and evidence.,符合性矩陣應標示驗證狀態與證據。,Requirements / Standards,5,1,2026-06-17
18,grounding,/ˈɡraʊn.dɪŋ/,接地,Poor grounding can increase conducted noise.,不良接地會增加傳導雜訊。,Grounding design must consider both safety and EMC performance.,接地設計必須同時考慮安全與 EMC 表現。,Grounding / Bonding,3,0,
19,bonding,/ˈbɑːn.dɪŋ/,搭接、等電位連接,Bonding reduces voltage differences between metal parts.,搭接可降低金屬部件間的電位差。,All equipment cases should have a controlled bonding path.,所有設備外殼都應有受控的搭接路徑。,Grounding / Bonding,4,0,
20,grounding philosophy,/ˈɡraʊn.dɪŋ fəˈlɑː.sə.fi/,接地設計理念,The grounding philosophy must be defined early.,接地設計理念必須及早定義。,A mixed grounding philosophy can create unpredictable noise paths.,混亂的接地理念可能產生不可預測的雜訊路徑。,Grounding / Bonding,5,1,2026-06-17
21,bonding requirement,/ˈbɑːn.dɪŋ rɪˈkwaɪr.mənt/,搭接要求,The bonding requirement defines the maximum resistance.,搭接要求定義最大電阻值。,Each bonding requirement should include an inspection method.,每項搭接要求都應包含檢查方法。,Grounding / Bonding,5,1,2026-06-17
22,verification,/ˌver.ə.fəˈkeɪ.ʃən/,驗證,Bonding verification is performed before EMC testing.,搭接驗證會在 EMC 測試前執行。,Verification confirms that the installed system meets the requirement.,驗證確認已安裝系統符合需求。,Grounding / Bonding,3,0,
23,common pitfall,/ˈkɑː.mən ˈpɪt.fɑːl/,常見陷阱,A common pitfall is grounding a shield at the wrong location.,常見陷阱是在錯誤位置接地屏蔽層。,Another common pitfall is assuming metal contact always provides good bonding.,另一個常見陷阱是假設金屬接觸一定能提供良好搭接。,Grounding / Bonding,4,0,
24,ground loop,/ɡraʊnd luːp/,接地迴路,A ground loop can introduce low-frequency noise.,接地迴路可能引入低頻雜訊。,Ground loops often appear when multiple return paths exist.,當存在多個回流路徑時，接地迴路常會出現。,Grounding / Bonding,5,1,2026-06-17
25,bonding audit,/ˈbɑːn.dɪŋ ˈɑː.dɪt/,搭接檢查 / 稽核,A bonding audit checks all grounding paths.,搭接檢查會確認所有接地路徑。,The bonding audit should include torque marks and resistance records.,搭接檢查應包含扭力標記與電阻紀錄。,Grounding / Bonding,5,1,2026-06-17
26,harness,/ˈhɑːr.nəs/,線束,The power harness should be separated from signal cables.,電源線束應與訊號線分開。,Harness design strongly affects EMC performance during integration.,線束設計會強烈影響整合期間的 EMC 表現。,Harness / Wiring,4,0,
27,wiring,/ˈwaɪr.ɪŋ/,配線,Good wiring design reduces EMC risk.,良好的配線設計可降低 EMC 風險。,Wiring changes should be reviewed before retesting.,重新測試前應審查配線變更。,Harness / Wiring,3,0,
28,wire segregation,/waɪr ˌseɡ.rəˈɡeɪ.ʃən/,線路隔離、線種分離,Wire segregation prevents noisy cables from coupling into sensitive signals.,線路隔離可避免噪聲線纜耦合到敏感訊號。,"Power, RF, and low-level analog wires need proper wire segregation.",電源、RF 與低位準類比線路需要適當線路隔離。,Harness / Wiring,5,1,2026-06-17
29,routing rule,/ˈruː.t̬ɪŋ ruːl/,走線規則,Routing rules define how cables should be placed.,走線規則定義線纜應如何配置。,A routing rule may require crossing noisy and sensitive cables at right angles.,走線規則可能要求噪聲線與敏感線以直角交叉。,Harness / Wiring,4,0,
30,shield,/ʃiːld/,屏蔽層、屏蔽,The cable shield must be terminated correctly.,線纜屏蔽層必須正確端接。,A damaged shield can reduce cable immunity.,受損的屏蔽層可能降低線纜抗擾能力。,Harness / Wiring,3,0,
31,shield termination,/ʃiːld ˌtɝː.məˈneɪ.ʃən/,屏蔽層端接,360-degree shield termination improves high-frequency performance.,360 度屏蔽端接可改善高頻性能。,Poor shield termination may turn a cable into an antenna.,不良屏蔽端接可能使線纜變成天線。,Harness / Wiring,5,1,2026-06-17
32,shield grounding,/ʃiːld ˈɡraʊn.dɪŋ/,屏蔽層接地,Shield grounding must match the system grounding plan.,屏蔽層接地必須符合系統接地規劃。,Incorrect shield grounding can create a noise injection path.,錯誤的屏蔽層接地可能形成雜訊注入路徑。,Harness / Wiring,5,1,2026-06-17
33,harness coupling,/ˈhɑːr.nəs ˈkʌp.lɪŋ/,線束耦合,Harness coupling may transfer noise between cables.,線束耦合可能在線纜之間傳遞雜訊。,Increasing physical separation can reduce harness coupling.,增加實體間距可降低線束耦合。,Harness / Wiring,5,1,2026-06-17
34,shield failure,/ʃiːld ˈfeɪl.jɚ/,屏蔽失效,Shield failure can cause radiated emissions to increase.,屏蔽失效會導致輻射發射增加。,A loose backshell is a common cause of shield failure.,鬆動的後殼是屏蔽失效的常見原因。,Harness / Wiring,5,1,2026-06-17
35,power quality,/ˈpaʊ.ɚ ˈkwɑː.lə.t̬i/,電源品質,Power quality affects both reliability and EMC performance.,電源品質會影響可靠度與 EMC 表現。,Power quality should be checked under maximum load conditions.,電源品質應在最大負載條件下檢查。,Power Quality,4,1,2026-06-17
36,bus,/bʌs/,匯流排、電源母線,The 28 V bus supplies power to avionics equipment.,28V 匯流排供電給航電設備。,A noisy power bus can affect multiple subsystems.,有雜訊的電源母線可能影響多個子系統。,Power Quality,3,0,
37,transient,/ˈtræn.zi.ənt/,暫態、瞬變,Load switching may create bus transients.,負載切換可能產生母線暫態。,The transient must stay within the equipment input rating.,該暫態必須保持在設備輸入額定範圍內。,Power Quality,4,0,
38,bus transient,/bʌs ˈtræn.zi.ənt/,電源母線暫態,Bus transients must be limited during launch operations.,發射操作期間必須限制電源母線暫態。,An umbilical disconnect can create a bus transient.,臍帶纜線斷開可能產生電源母線暫態。,Power Quality,5,1,2026-06-17
39,conducted emission,/kənˈdʌk.tɪd ɪˈmɪʃ.ən/,傳導發射,Conducted emissions are measured on power lines.,傳導發射會在電源線上量測。,A filter can reduce conducted emission from a DC-DC converter.,濾波器可降低 DC-DC 轉換器的傳導發射。,Power Quality,5,1,2026-06-17
40,filter integration,/ˈfɪl.tɚ ˌɪn.təˈɡreɪ.ʃən/,濾波器整合,Filter integration must consider grounding and layout.,濾波器整合必須考慮接地與佈局。,Bad filter integration may reduce attenuation at high frequency.,不良濾波器整合可能降低高頻衰減效果。,Power Quality,5,1,2026-06-17
41,converter noise,/kənˈvɝː.t̬ɚ nɔɪz/,轉換器雜訊,DC-DC converter noise is a common EMC problem.,DC-DC 轉換器雜訊是常見 EMC 問題。,Converter noise can couple into sensors through power and ground paths.,轉換器雜訊可能透過電源與接地路徑耦合到感測器。,Power Quality,5,1,2026-06-17
42,power survey,/ˈpaʊ.ɚ ˈsɝː.veɪ/,電源調查 / 電源量測,A power survey checks voltage ripple and transients.,電源調查會檢查電壓漣波與暫態。,The power survey should be repeated after major harness changes.,重大線束變更後應重複執行電源調查。,Power Quality,4,0,
43,ordnance circuit,/ˈɔːrd.nəns ˈsɝː.kɪt/,火工品電路、點火電路,Ordnance circuits require strict EMC control.,火工品電路需要嚴格 EMC 控制。,The ordnance circuit must be isolated from noisy power wiring.,火工品電路必須與噪聲電源線隔離。,Ordnance / HERO,5,1,2026-06-17
44,HERO,/ˈhɪr.oʊ/,電磁輻射對火工品危害,HERO compliance is critical for ordnance safety.,HERO 符合性對火工品安全非常關鍵。,HERO analysis evaluates RF hazards near electro-explosive devices.,HERO 分析評估電爆裝置附近的 RF 危害。,Ordnance / HERO,5,1,2026-06-17
45,HERO compliance,/ˈhɪr.oʊ kəmˈplaɪ.əns/,符合 HERO 要求,The system must demonstrate HERO compliance before launch.,系統必須在發射前證明符合 HERO 要求。,HERO compliance may restrict transmitter operation during integration.,HERO 符合性可能限制整合期間的發射機操作。,Ordnance / HERO,5,1,2026-06-17
46,EED,/ˌiː iː ˈdiː/,電爆裝置,EEDs must be protected from unintended RF energy.,電爆裝置必須避免受到非預期 RF 能量影響。,"An EED requires shielding, isolation, and procedural controls.",電爆裝置需要屏蔽、隔離與程序管制。,Ordnance / HERO,5,1,2026-06-17
47,EED shielding,/ˌiː iː ˈdiː ˈʃiːl.dɪŋ/,電爆裝置屏蔽,EED shielding reduces the risk of accidental initiation.,電爆裝置屏蔽可降低誤觸發風險。,EED shielding should be inspected before ordnance connection.,連接火工品前應檢查電爆裝置屏蔽。,Ordnance / HERO,5,1,2026-06-17
48,firing circuit,/ˈfaɪr.ɪŋ ˈsɝː.kɪt/,點火電路,The firing circuit must remain isolated until commanded.,點火電路在命令前必須保持隔離。,Firing circuit layout should minimize unintended coupling.,點火電路佈局應盡量降低非預期耦合。,Ordnance / HERO,5,1,2026-06-17
49,isolation,/ˌaɪ.səˈleɪ.ʃən/,隔離,Firing circuit isolation prevents unintended current paths.,點火電路隔離可避免非預期電流路徑。,Isolation is required between safety-critical and noisy circuits.,安全關鍵電路與噪聲電路之間需要隔離。,Ordnance / HERO,4,0,
50,RF compatibility,/ˌɑːr ˈef kəmˌpæt̬.əˈbɪl.ə.t̬i/,射頻相容性,RF compatibility ensures radios can operate together.,射頻相容性確保無線電設備能共同運作。,RF compatibility must be checked with all transmitters and receivers active.,必須在所有發射機與接收器啟用時檢查射頻相容性。,RF Compatibility,5,1,2026-06-17
51,antenna coupling,/ænˈten.ə ˈkʌp.lɪŋ/,天線耦合,Antenna coupling can disturb nearby receivers.,天線耦合可能干擾附近接收器。,"Antenna coupling depends on distance, frequency, and orientation.",天線耦合取決於距離、頻率與方向。,RF Compatibility,5,1,2026-06-17
52,receiver,/rɪˈsiː.vɚ/,接收器,The receiver must be protected from strong transmitters.,接收器必須避免受到強發射機影響。,A receiver can lose sensitivity in a high RF environment.,接收器在高 RF 環境中可能失去靈敏度。,RF Compatibility,3,0,
53,desensitization,/diːˌsen.sə.təˈzeɪ.ʃən/,靈敏度降低、去敏化,Receiver desensitization may reduce GNSS performance.,接收器去敏化可能降低 GNSS 性能。,Desensitization can occur even when the receiver is not damaged.,即使接收器未受損，也可能發生去敏化。,RF Compatibility,5,1,2026-06-17
54,FTS,/ˌef tiː ˈes/,飛行終止系統,The FTS link must be protected from interference.,飛行終止系統鏈路必須避免干擾。,FTS performance is critical during launch operations.,飛行終止系統性能在發射操作期間非常關鍵。,RF Compatibility,5,1,2026-06-17
55,GNSS,/ˌdʒiː en es ˈes/,全球導航衛星系統,GNSS antennas are sensitive to RF interference.,GNSS 天線對 RF 干擾很敏感。,GNSS protection is important near high-power transmitters.,在高功率發射機附近，GNSS 保護很重要。,RF Compatibility,4,0,
56,protection,/prəˈtek.ʃən/,保護,GNSS protection is required near high-power transmitters.,在高功率發射機附近需要 GNSS 保護。,Protection measures should be verified during integration testing.,保護措施應在整合測試期間驗證。,RF Compatibility,3,0,
57,self-compatibility,/self kəmˌpæt̬.əˈbɪl.ə.t̬i/,自相容性,Self-compatibility testing checks interference within the vehicle.,自相容性測試會檢查載具內部干擾。,Self-compatibility problems often appear when multiple radios operate together.,多個無線電同時運作時常會出現自相容性問題。,RF Compatibility,5,1,2026-06-17
58,lightning,/ˈlaɪt.nɪŋ/,雷擊,Lightning protection is part of vehicle EMC design.,雷擊保護是載具 EMC 設計的一部分。,Lightning current must be routed through a controlled path.,雷擊電流必須透過受控路徑導引。,Lightning / ESD,3,0,
59,ESD,/ˌiː es ˈdiː/,靜電放電,ESD can damage sensitive electronics.,靜電放電可能損壞敏感電子設備。,ESD control is required when handling avionics hardware.,處理航電硬體時需要 ESD 控制。,Lightning / ESD,3,0,
60,pad,/pæd/,發射台,The vehicle is exposed to the pad RF environment.,載具會暴露在發射台 RF 環境中。,Pad operations may introduce additional grounding constraints.,發射台操作可能引入額外接地限制。,Lightning / ESD,3,0,
61,pad lightning interface,/pæd ˈlaɪt.nɪŋ ˈɪn.t̬ɚ.feɪs/,發射台雷擊介面,The pad lightning interface must provide a safe discharge path.,發射台雷擊介面必須提供安全放電路徑。,The pad lightning interface should be reviewed before vehicle rollout.,載具推出前應審查發射台雷擊介面。,Lightning / ESD,5,1,2026-06-17
62,P-static,/ˈpiː ˈstæt̬.ɪk/,降水靜電 / 飛行摩擦靜電,P-static may affect antennas during flight.,P-static 可能在飛行中影響天線。,P-static control is important for RF and telemetry performance.,P-static 控制對 RF 與遙測性能很重要。,Lightning / ESD,5,1,2026-06-17
63,ESD control,/ˌiː es ˈdiː kənˈtroʊl/,靜電控制,ESD control is required during integration.,整合期間需要靜電控制。,"ESD control includes grounding straps, mats, and handling procedures.",ESD 控制包含接地腕帶、靜電墊與操作程序。,Lightning / ESD,4,0,
64,discharge path,/dɪsˈtʃɑːrdʒ pæθ/,放電路徑,A low-impedance discharge path helps protect electronics.,低阻抗放電路徑有助於保護電子設備。,The discharge path should not pass through sensitive circuits.,放電路徑不應穿過敏感電路。,Lightning / ESD,5,1,2026-06-17
65,integration-stage verification,/ˌɪn.təˈɡreɪ.ʃən steɪdʒ ˌver.ə.fəˈkeɪ.ʃən/,整合階段驗證,Integration-stage verification confirms system-level EMC behavior.,整合階段驗證確認系統級 EMC 行為。,Integration-stage verification should be planned before final assembly.,整合階段驗證應在最終組裝前規劃。,Verification / Test,5,1,2026-06-17
66,test planning,/test ˈplæn.ɪŋ/,測試規劃,Test planning should start before hardware integration.,測試規劃應在硬體整合前開始。,Good test planning reduces schedule risk during EMC qualification.,良好的測試規劃可降低 EMC 鑑定期間的時程風險。,Verification / Test,3,0,
67,self-compatibility test,/self kəmˌpæt̬.əˈbɪl.ə.t̬i test/,自相容性測試,A self-compatibility test checks whether onboard systems interfere with each other.,自相容性測試檢查機上系統是否互相干擾。,The self-compatibility test should include representative operating modes.,自相容性測試應包含具代表性的操作模式。,Verification / Test,5,1,2026-06-17
68,measurement procedure,/ˈmeʒ.ɚ.mənt prəˈsiː.dʒɚ/,量測程序,The measurement procedure defines equipment setup and limits.,量測程序定義設備架設與限制值。,A repeatable measurement procedure improves test credibility.,可重複的量測程序可提升測試可信度。,Verification / Test,4,0,
69,checklist,/ˈtʃek.lɪst/,檢查表,The checklist helps engineers avoid missing critical steps.,檢查表可幫助工程師避免遺漏關鍵步驟。,The integration checklist should include shield and bonding inspections.,整合檢查表應包含屏蔽與搭接檢查。,Verification / Test,2,0,
70,test report,/test rɪˈpɔːrt/,測試報告,The test report records results and anomalies.,測試報告記錄結果與異常。,"The test report should include photos, setup diagrams, and raw data.",測試報告應包含照片、架設圖與原始數據。,Verification / Test,3,0,
71,audit,/ˈɑː.dɪt/,稽核、檢查,An EMC audit reviews design and installation quality.,EMC 稽核會檢查設計與安裝品質。,The audit found several missing bonding jumpers.,稽核發現數個缺失的搭接跳線。,Verification / Test,3,0,
72,troubleshooting,/ˈtruː.bəlˌʃuː.t̬ɪŋ/,故障排查,Troubleshooting starts with identifying the noise source.,故障排查從辨識雜訊源開始。,Effective troubleshooting requires controlled configuration changes.,有效的故障排查需要受控的配置變更。,Troubleshooting,4,0,
73,common problem,/ˈkɑː.mən ˈprɑː.bləm/,常見問題,Converter noise is a common problem in power systems.,轉換器雜訊是電源系統中的常見問題。,A common problem during integration is incomplete shield termination.,整合期間常見問題是不完整的屏蔽端接。,Troubleshooting,3,0,
74,failure,/ˈfeɪl.jɚ/,失效,A shield failure may be caused by poor termination.,屏蔽失效可能由不良端接造成。,Failure analysis should identify both the symptom and the root cause.,失效分析應辨識症狀與根本原因。,Troubleshooting,3,0,
75,coupling,/ˈkʌp.lɪŋ/,耦合,Coupling transfers unwanted energy from one circuit to another.,耦合會把不需要的能量從一個電路傳到另一個電路。,Capacitive coupling increases when cables are routed too close together.,當線纜走線太近時，電容耦合會增加。,Troubleshooting,4,0,
76,noise source,/nɔɪz sɔːrs/,雜訊源,The switching converter was identified as the noise source.,切換式轉換器被確認為雜訊源。,Finding the noise source is the first step in EMC troubleshooting.,找出雜訊源是 EMC 故障排查的第一步。,Troubleshooting,4,0,
77,victim circuit,/ˈvɪk.tɪm ˈsɝː.kɪt/,受害電路,A sensitive receiver can become a victim circuit.,敏感接收器可能成為受害電路。,The victim circuit should be protected with filtering and shielding.,受害電路應透過濾波與屏蔽保護。,Troubleshooting,5,1,2026-06-17
78,root cause,/ruːt kɑːz/,根本原因,The root cause was a missing shield connection.,根本原因是缺少屏蔽連接。,Root cause analysis prevents the same EMC problem from recurring.,根本原因分析可避免相同 EMC 問題再次發生。,Troubleshooting,4,0,
79,launch operation,/lɔːntʃ ˌɑː.pəˈreɪ.ʃən/,發射操作,Launch operations introduce additional EMC risks.,發射操作會帶來額外 EMC 風險。,Launch operation constraints must be reflected in the EMC control plan.,發射操作限制必須反映在 EMC 管制計畫中。,Launch Operations,4,0,
80,pad RF environment,/pæd ˌɑːr ˈef ɪnˈvaɪ.rən.mənt/,發射台 RF 環境,The pad RF environment includes telemetry and communication transmitters.,發射台 RF 環境包含遙測與通訊發射機。,The pad RF environment may affect receivers before liftoff.,起飛前，發射台 RF 環境可能影響接收器。,Launch Operations,5,1,2026-06-17
81,umbilical,/ʌmˈbɪl.ɪ.kəl/,臍帶纜線、地面連接纜線,The umbilical provides power and signals before launch.,臍帶纜線在發射前提供電源與訊號。,Umbilical routing should minimize coupling into flight wiring.,臍帶纜線走線應盡量降低對飛行線路的耦合。,Launch Operations,4,0,
82,umbilical transient,/ʌmˈbɪl.ɪ.kəl ˈtræn.zi.ənt/,臍帶纜線暫態,Umbilical transients may occur during disconnect.,臍帶纜線在斷開時可能產生暫態。,The avionics power input must tolerate umbilical transients.,航電電源輸入必須能承受臍帶纜線暫態。,Launch Operations,5,1,2026-06-17
83,countdown,/ˈkaʊnt.daʊn/,倒數計時,EMC constraints must be checked during countdown.,倒數期間必須確認 EMC 限制。,Some transmitters may be disabled during the countdown.,某些發射機可能在倒數期間停用。,Launch Operations,3,0,
84,constraint,/kənˈstreɪnt/,限制條件,Countdown constraints may prevent certain RF transmitters from operating.,倒數限制可能禁止某些 RF 發射機運作。,Each constraint should be linked to a safety or EMC requirement.,每項限制條件都應連結到安全或 EMC 需求。,Launch Operations,3,0,
85,documentation,/ˌdɑː.kjə.menˈteɪ.ʃən/,文件化、文件資料,Good documentation helps future troubleshooting.,良好的文件化有助於未來排查問題。,Documentation should include design assumptions and test evidence.,文件資料應包含設計假設與測試證據。,Documentation,3,0,
86,EMC control plan,/ˌiː em ˈsiː kənˈtroʊl plæn/,EMC 管制計畫,The EMC control plan defines design rules and test methods.,EMC 管制計畫定義設計規則與測試方法。,The EMC control plan should be updated after each major design change.,每次重大設計變更後應更新 EMC 管制計畫。,Documentation,5,1,2026-06-17
87,lesson learned,/ˈles.ən lɝːnd/,經驗教訓,Lessons learned should be recorded after each test campaign.,每次測試活動後都應記錄經驗教訓。,A lesson learned from integration should be fed back into the next design.,整合得到的經驗教訓應回饋到下一版設計。,Documentation,3,0,
88,appendix,/əˈpen.dɪks/,附錄，單數,The appendix includes the measurement procedure.,附錄包含量測程序。,Place detailed checklists in the appendix.,將詳細檢查表放在附錄中。,Documentation,3,0,
89,appendices,/əˈpen.dɪ.siːz/,附錄，複數,The appendices include checklists and procedures.,附錄包含檢查表與程序。,The appendices provide supporting data for the EMC report.,附錄提供 EMC 報告的佐證資料。,Documentation,3,0,
90,procedure,/prəˈsiː.dʒɚ/,程序,Each procedure must be repeatable and clearly documented.,每個程序都必須可重複且清楚記錄。,"The procedure should specify instruments, limits, and acceptance criteria.",程序應指定儀器、限制值與接受準則。,Documentation,3,0,
91,matrix,/ˈmeɪ.trɪks/,矩陣、表格,A matrix is useful for tracking requirement compliance.,矩陣很適合用來追蹤需求符合性。,The review matrix shows open issues and responsible owners.,審查矩陣顯示未解問題與負責人。,Documentation,3,0,
